gene.name	gene.description	gene.family
Solyc01g101160	hypothetical protein (AHRD V3.3 *-* AT1G09520.1)	
Solyc01g101170	Viridiflorene synthase (AHRD V3.3 *** TPS31_SOLLC)	
Solyc01g102270	Unknown protein	
Solyc01g102310	60S ribosomal protein L34 (AHRD V3.3 *-* A0A2G2VNY7_CAPBA)	
Solyc01g102350	Pectin acetylesterase (AHRD V3.3 *** K4B1G3_SOLLC)	
Solyc01g102390	Germin-like protein (AHRD V3.3 *** O65358_SOLTU)	
Solyc01g102410	Glutamine--tRNA ligase (AHRD V3.3 *** A0A2I0WQV3_9ASPA)	
Solyc01g102460	ubiquitin carboxyl-terminal hydrolase-like protein (AHRD V3.3 --* AT5G26720.1)	
Solyc01g102480	organic solute transporter ostalpha protein (DUF300) (AHRD V3.3 *** AT5G26740.3)	
Solyc01g102490	NADPH:adrenodoxin oxidoreductase, mitochondrial (AHRD V3.3 *** A0A2G2XXN3_CAPAN)	
Solyc01g102510	Transducin/WD40 repeat-like superfamily protein (AHRD V3.3 *** F4KIH8_ARATH)	
Solyc01g102540	hpoxia-induced protein 242	
Solyc01g102570	Eukaryotic translation initiation factor 3 subunit C (AHRD V3.11 *** tr|A0A2G2XXL6|A0A2G2XXL6_CAPAN)	
Solyc01g102580	endo-1,4-beta-glucanase (Cel3)	
Solyc01g102670	DNA glycosylase (AHRD V3.3 *** A0A2U1MY08_ARTAN)	
Solyc01g102680	Protein kinase-like domain-containing protein (AHRD V3.3 *** A0A2U1P0D3_ARTAN)	
Solyc01g102690	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G2V0P1_CAPBA)	
Solyc01g102710	Leucine-rich repeat receptor-like protein kinase.1	
Solyc01g102730	NAD(P)-binding Rossmann-fold superfamily protein (AHRD V3.3 *** Q9ZVQ2_ARATH)	
Solyc01g102810	DNA polymerase III subunit gamma/tau (AHRD V3.3 *** A0A2K3P8Q5_TRIPR)	
Solyc01g102880	Disease resistance protein (TIR-NBS-LRR class) (AHRD V3.3 *-* A0A2K3P9V5_TRIPR)	
Solyc01g102940	Methionine S-methyltransferase (AHRD V3.3 *** A0A2G2W8J7_CAPBA)	
Solyc01g102950	Lycopene beta/epsilon cyclase protein (AHRD V3.3 *** A0A2U1QDC2_ARTAN)	
Solyc01g103040	mitotic spindle checkpoint protein MA.1	
Solyc01g103170	Lysine ketoglutarate reductase trans-splicing-like protein, putative (DUF707) (AHRD V3.3 *** F4JRK4_ARATH)	
Solyc01g103230	Non-lysosomal glucosylceramidase (AHRD V3.3 *** A0A2G3BUU5_CAPCH)	
Solyc01g103490	MACPF domain-containing protein (AHRD V3.3 *** A0A1Q3B5D7_CEPFO)	
Solyc01g103570	DNA-binding bromodomain-containing protein (AHRD V3.3 *** F4I9P8_ARATH)	
Solyc01g103595	Jasmonate ZIM domain protein l (AHRD V3.3 *** I3WTB0_NICAT)	
Solyc01g103620	Bile acid:sodium symporter (AHRD V3.3 *** A0A200PTK0_9MAGN)	
Solyc01g103650	Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** Q9XID7_ARATH)	
Solyc01g103660	Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** Q9XID7_ARATH)	
Solyc01g103720	Ribosome biogenesis protein BO.1	
Solyc01g103760	magnesium transporter NIPA (DUF803) (AHRD V3.3 *** AT4G13800.8)	
Solyc01g103790	Protein kinase superfamily protein (AHRD V3.3 *-* A0A2U1PSD3_ARTAN)	
Solyc01g103873	Basic-leucine zipper (BZIP) transcription factor family protein (AHRD V3.3 *** F4I9R1_ARATH)	
Solyc01g103875	Basic-leucine zipper (BZIP) transcription factor family protein (AHRD V3.3 *** F4I9R1_ARATH)	
Solyc01g103890	magnesium transporter MRS2-4 (AHRD V3.3 *** A0A2I4FV61_9ROSI)	
Solyc01g103970	E3 ubiquitin-protein ligase RNF170-like protein (DUF 1232) (AHRD V3.3 *** Q0WWX8_ARATH)	
Solyc01g104000	Serine hydroxymethyltransferase (AHRD V3.3 *** A0A1U8DVN3_CAPAN)	
Solyc01g104160	arginine/glutamate-rich.1	
Solyc01g104190	maternal effect embryo arrest 9 (AHRD V3.3 *** AT1G60870.1)	
Solyc01g104240	Hydroxyproline-rich glycoprotein-like (AHRD V3.3 *-* Q5JLQ2_ORYSJ)	
Solyc01g150158	Unknown protein	
Solyc01g150160	Unknown protein	
Solyc01g104460	partner of Y14-MAGO Chr1:3838777-3839978 FORWARD LENGTH=204 201606 (AHRD V3.11 *** AT1G11400.6)	
Solyc01g104480	C-jun-amino-terminal kinase-interacting protein (AHRD V3.3 *-* AT1G36990.1)	
Solyc01g104490	Separase (AHRD V3.3 *** A0A1J3GIR9_NOCCA)	
Solyc01g104540	C-jun-amino-terminal kinase-interacting protein (AHRD V3.3 *-* AT1G36990.1)	
Solyc01g104570	kinetochore protein NDC80 homolog (AHRD V3.3 *** A0A2I4H4F2_9ROSI)	
Solyc01g104590	ribosomal protein L3	
Solyc11g012410	myo-inositol monophosphatase 3	
Solyc11g012450	Inositol transporter 4	
Solyc11g012470	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *-* F4JFN7_ARATH)	
Solyc11g012480	Thymidine kinase (AHRD V3.3 *** A0A1U8EY32_CAPAN)	
Solyc11g012570	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2U1PDA5_ARTAN)	
Solyc11g012710	SNF1-related protein kinase regulatory subunit beta-2 (AHRD V3.3 *** A0A1U8F370_CAPAN)	
Solyc11g012790	Sec14p-like phosphatidylinositol transfer family protein (AHRD V3.3 *** A0A2U1NTZ9_ARTAN)	
Solyc11g012880	EamA-like transporter family protein (AHRD V3.3 *** A0A2U1L2E6_ARTAN)	
Solyc11g012890	hypothetical protein (AHRD V3.3 *** AT1G48200.1)	
Solyc11g013030	DIS3-like exonuclease 2 (AHRD V3.3 *** A0A2G2WY12_CAPBA)	
Solyc11g013080	Membrane insertion protein, OxaA/YidC with tetratricopeptide repeat domain-containing protein (AHRD V3.3 *-* A0A1I9LM69_ARATH)	
Solyc11g013090	Penicillin-binding protein, 1A family (AHRD V3.3 *-* B2IXM2_NOSP7)	
Solyc11g013170	Aminotransferase (AHRD V3.3 *** A0A200QIS8_9MAGN)	
Solyc11g013200	Biotin--protein ligase 1, chloroplastic (AHRD V3.3 *** A0A2G3B0T4_CAPCH)	
Solyc11g013240	serine/threonine-protein kinase mp.1	
Solyc11g013270	O-fucosyltransferase (AHRD V3.3 *** A0A2P5CFH3_PARAD)	
Solyc11g013280	transcription activator (AHRD V3.3 *** AT5G18410.2)	
Solyc11g013330	BPS1-like protein (AHRD V3.3 *** AT1G22030.1)	
Solyc11g013370	E3 ubiquitin protein ligase (AHRD V3.3 *** A0A2G2ZNJ5_CAPAN)	
Solyc11g013380	GrpE protein homolog (AHRD V3.3 *-* A0A2G2V6J1_CAPBA)	
Solyc11g013390	GrpE protein homolog (AHRD V3.3 *-* A0A2G2V6J1_CAPBA)	
Solyc11g013470	Auxin response factor (AHRD V3.3 *-* E5LMG0_SOLLC)	
Solyc11g013820	1-phosphatidylinositol-3-phosphate 5-kinase-like protein (AHRD V3.3 *-* A0A2K3NR77_TRIPR)	
Solyc11g013830	1-phosphatidylinositol-3-phosphate 5-kinase fab1d-like protein (AHRD V3.3 *** A0A2K3NPE5_TRIPR)	
Solyc11g013850	PyrD (AHRD V3.3 *** AT1G71865.1)	
Solyc11g016940	magnesium transporter NIPA (DUF803) (AHRD V3.3 *** AT4G13800.8)	
Solyc11g016990	Protein-tyrosine-phosphatase PT.1	
Solyc11g017050	Mitochondrial transcription termination factor (AHRD V3.3 *** D8WKY3_TRITU)	
Solyc11g017070	Eukaryotic translation initiation factor 3 subunit I (AHRD V3.3 *** A0A2U1LM52_ARTAN)	
Solyc11g017200	Tetratricopeptide repeat (TPR)-like superfamily protein (AHRD V3.3 *** F4I2Z0_ARATH)	
Solyc11g150106	Unknown protein	
Solyc11g017290	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A1U8GEG1_CAPAN)	
Solyc11g017300	JAB	
Solyc11g017310	Pentatricopeptide repeat-containing protein, chloroplastic (AHRD V3.3 *-* A0A2G2WYH4_CAPBA)	
Solyc11g017330	Pentatricopeptide repeat-containing protein, chloroplastic (AHRD V3.3 *-* A0A2G2WYH4_CAPBA)	
Solyc11g017380	magnesium transporter NIPA (DUF803) (AHRD V3.3 *** AT4G13800.8)	
Solyc11g017460	U-box domain-containing protein 13 (AHRD V3.3 *** A0A1J3H637_NOCCA)	
Solyc11g018500	Beta-galactosidase (AHRD V3.3 *** A0A2G2ZPF3_CAPAN)	
Solyc11g018510	N-glycosylase/DNA lyase OG.1	
Solyc11g018580	Long chain acyl-CoA synthetase (AHRD V3.3 *** Q5W6W7_ORYSJ)	
Solyc11g018670	DnaJ domain (AHRD V3.3 *** A0A200QKD3_9MAGN)	
Solyc11g018680	ABC transporter G family member 25 (AHRD V3.3 *-* A0A2G2WXS9_CAPBA)	
Solyc11g018772	Peroxidase (AHRD V3.3 *** M1CN26_SOLTU)	
Solyc11g018774	Peroxidase (AHRD V3.11 *** tr|M1CN26|M1CN26_SOLTU)	
Solyc11g019910	Plant invertase/pectin methylesterase inhibitor superfamily protein (AHRD V3.11 *** tr|A0A2U1KPL8|A0A2U1KPL8_ARTAN)	
Solyc11g019950	Long chain base biosynthesis protein.1	
Solyc11g019960	immunoglobulin Chr1:18562302-18566015 FORWARD LENGTH=532 201606 (AHRD V3.11 *** AT1G50120.1)	
Solyc11g020040	heat shock protein 70	
Solyc11g020230	Serine/threonine-protein kinase-like protein CCR4 (AHRD V3.3 *** A0A2G2WXQ5_CAPBA)	
Solyc11g020280	Receptor-like protein kinase (AHRD V3.3 *** A0A2R6Q1M0_ACTCH)	
Solyc11g020290	WD-40 repeat-containing protein MS.1	
Solyc11g020330	leer-sHSP small heat shock protein	
Solyc11g020610	Neutral/alkaline invertase (AHRD V3.3 *** I0CL58_MANES)	
Solyc11g020710	cytochrome C oxidase biogenesis Cmc1-like protein (AHRD V3.3 *** AT1G31175.2)	
Solyc11g020720	Hydrolase-like protein family (AHRD V3.3 *-* AT1G29120.2)	
Solyc11g020730	Unknown protein	
Solyc11g020760	DEAD/DEAH box RNA helicase family protein (AHRD V3.3 *-* A0A1P8APH5_ARATH)	
Solyc11g020975	Unknown protein	
Solyc11g022450	Unknown protein	
Solyc11g050890	Unknown protein	
Solyc11g027830	ATP-dependent protease La (LON) domain protein (AHRD V3.3 *** A0A2U1KRZ5_ARTAN)	
Solyc11g027840	Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** Q9C8P5_ARATH)	
Solyc11g030700	Unknown protein	
Solyc11g030720	2-alkenal reductase (NADP(+)-dependent) (AHRD V3.3 *** A0A2G2ZP98_CAPAN)	
Solyc11g030730	Cytochrome P450 (AHRD V3.3 *-* A0A200Q069_9MAGN)	
Solyc11g031950	Glucuronoxylan 4-O-methyltransferase 2 (AHRD V3.3 *** A0A2G2VV10_CAPBA)	
Solyc11g033280	ATP-dependent RNA helicase (AHRD V3.3 *** U9T5U8_RHIID)	
Solyc11g033281	Unknown protein	
Solyc11g045610	Cyclin-dependent kinase C.1	
Solyc11g045480	Myosin-binding protein 7 (AHRD V3.3 *-* A0A1U8FIW1_CAPAN)	
Solyc11g045130	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (AHRD V3.3 *** A0A2U1KV50_ARTAN)	
Solyc11g045110	Sucrose-phosphate synthase family protein (AHRD V3.3 *** A0A2U1M1C4_ARTAN)	
Solyc11g045100	tropomyosin (AHRD V3.3 *** AT1G33500.3)	
Solyc11g044940	Serine/threonine-protein kinase-like protein ACR4 (AHRD V3.3 *** A0A2G2YFK6_CAPAN)	
Solyc11g160190	6b-interacting protein 2 (AHRD V3.11 *-* tr|B1B5X5|B1B5X5_TOBAC)	
Solyc11g044910	Beta-D-xylosidase 4 (AHRD V3.3 *** A0A2G2VN32_CAPBA)	
Solyc11g044330	Zinc finger SWIM domain protein (AHRD V3.3 *** F4JJV9_ARATH)	
Solyc11g044270	Major facilitator superfamily protein (AHRD V3.11 *-* tr|A0A2U1KFT1|A0A2U1KFT1_ARTAN)	
Solyc11g043200	Dynamin related protein (AHRD V3.3 *-* A0A1P8AX46_ARATH)	
Solyc11g042640	Rieske (2Fe-2S) domain-containing protein (AHRD V3.3 *** Q9C9I7_ARATH)	
Solyc11g042430	Protein phosphatase methylesterase.1	
Solyc11g040390	Aspartokinase-homoserine dehydrogenase (AHRD V3.3 *** O65027_SOYBN)	
Solyc11g040330	Endo-1,4-beta-xylanase (AHRD V3.3 *** A0A1J3CP06_NOCCA)	
Solyc11g040300	Transmembrane protein (AHRD V3.3 *-* Q8GSF0_ARATH)	
Solyc11g040173	Unknown protein	
Solyc11g040150	Heparan-alpha-glucosaminide N-acetyltransferase-like protein (DUF1624) (AHRD V3.3 *** B3H4C1_ARATH)	
Solyc11g161450	Zinc finger BED domain-containing protein RICESLEEPER 2 (AHRD V3.11 *** tr|A0A2U1PZM4|A0A2U1PZM4_ARTAN)	
Solyc11g040040	Phototropic-responsive NPH3 family protein (AHRD V3.3 *** A0A2U1NLD8_ARTAN)	
Solyc11g039910	Mitochondrial import inner membrane translocase subunit TIM17-2 (AHRD V3.3 *** A0A2G2X9K8_CAPBA)	
Solyc11g039830	Glycine--tRNA ligase (AHRD V3.3 *** A0A2G2X9C7_CAPBA)	
Solyc11g056680	Leucine-rich repeat receptor-like protein (AHRD V3.3 *** H6V788_MALDO)	
Solyc11g061720	Serine/threonine-protein kinase UCNL (AHRD V3.3 *** A0A2G3B973_CAPCH)	
Solyc11g061960	Protein kinase-like domain-containing protein (AHRD V3.3 *-* A0A2U1MAQ3_ARTAN)	
Solyc11g061980	Unknown protein	
Solyc11g062010	Chromatin structure-remodeling complex protein SYD (AHRD V3.3 *** A0A2G2YFV9_CAPAN)	
Solyc11g062030	Unknown protein	
Solyc11g062100	E1-E2_ATPase domain-containing protein/HMA domain-containing protein/Hydrolase domain-containing protein (AHRD V3.3 *** A0A1Q3B5J2_CEPFO)	
Solyc11g062240	Zinc finger transcription factor  66	
Solyc11g062250	Pentatricopeptide repeat-containing protein, mitochondrial (AHRD V3.3 *** A0A2G3B9A1_CAPCH)	
Solyc11g062300	proteasome-associated protein ECM29 homolog (AHRD V3.3 *-* A0A2I4FN79_9ROSI)	
Solyc11g062320	Proteasome-associated protein ECM29 (AHRD V3.3 *** A0A2K3MSJ3_TRIPR)	
Solyc01g150164	thionin-like protein (AHRD V3.3 *** AT1G25275.1)	
Solyc01g104720	thionin-like protein (AHRD V3.3 -** AT1G25275.1)	
Solyc01g104920	Vesicle-fusing ATPase (AHRD V3.3 *** A0A2G3C862_CAPCH)	
Solyc01g105070	LECEVI16G peroxidase precursor	
Solyc01g105150	Potassium transporter (AHRD V3.3 *** K4B285_SOLLC)	
Solyc01g105310	Metacaspase.1	
Solyc01g105387	ABC transporter G family member .1	
Solyc01g105410	Protein EXORDIUM-like 2 (AHRD V3.3 *** B1Q489_CAPCH)	
Solyc01g105560	GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase	
Solyc01g105570	U2 small nuclear ribonucleoprotein auxiliary factor-like protein (AHRD V3.3 *** AT5G64010.1)	
Solyc01g105600	hypothetical protein (AHRD V3.3 *-* AT2G14095.1)	
Solyc01g105690	transcription factor bHLH143-like (AHRD V3.11 *** tr|A0A2I4HEY9|A0A2I4HEY9_9ROSI)	
Solyc01g105700	Myc-type, basic helix-loop-helix (BHLH) domain-containing protein (AHRD V3.3 *-* A0A2U1NNA1_ARTAN)	
Solyc01g105720	hypothetical protein (AHRD V3.3 *** AT1G58120.1)	
Solyc01g105780	DnaJ domain-containing protein (AHRD V3.3 *-* A0A2U1PVJ7_ARTAN)	
Solyc01g105880	Monoterpenoid synthase 2	
Solyc01g105980	vacuole protein (AHRD V3.3 *** AT4G33625.1)	
Solyc01g106080	Methylmalonate-semialdehyde dehydrogenase (AHRD V3.3 *** A0A200PUD7_9MAGN)	
Solyc01g150166	Unknown protein	
Solyc01g106220	DNA polymerase V (AHRD V3.11 *** tr|A0A2I4F5F3|A0A2I4F5F3_9ROSI)	
Solyc01g106280	PSTVd RNA-biding protein	
Solyc01g106330	Glutamyl-tRNA(Gln) amidotransferase subunit A (AHRD V3.3 *** A0A2U1LC75_ARTAN)	
Solyc01g106350	Fatty acid amide hydrolase (AHRD V3.3 *** A0A2G2Y3D5_CAPAN)	
Solyc01g106410	NBS-LRR resistance protein (AHRD V3.3 *** A0A2K3NXD2_TRIPR)	
Solyc01g106440	S-acyltransferase (AHRD V3.3 *** A0A2G2W8Y7_CAPBA)	
Solyc01g106500	Receptor-like protein kinase (AHRD V3.3 *** A0A2R6Q659_ACTCH)	
Solyc01g106540	neurofilament heavy protein Chr4:9567046-9569913 REVERSE LENGTH=661 201606 (AHRD V3.11 *-* AT4G17000.3)	
Solyc01g106810	short hypocotyl in white light1 Chr1:26342072-26343082 REVERSE LENGTH=192 201606 (AHRD V3.11 *-* AT1G69935.1)	
Solyc01g106820	Ethylene-dependent gravitropism-deficient and yellow-green-like 3 (AHRD V3.3 *** A0A2U1KYW2_ARTAN)	
Solyc01g106870	Receptor-like protein 12 (AHRD V3.3 *-* A0A2P4M348_QUESU)	
Solyc01g106890	hypothetical protein (AHRD V3.3 *** AT3G19660.1)	
Solyc01g106900	Magnesium transporter MRS2-F (AHRD V3.3 *** A0A2G2V1P4_CAPBA)	
Solyc01g107020	Acyl-CoA N-acyltransferase (AHRD V3.11 *** tr|A0A2U1MJU7|A0A2U1MJU7_ARTAN)	
Solyc01g107080	HXXXD-type acyl-transferase family protein (AHRD V3.3 *** A0A2K3MRI0_TRIPR)	
Solyc01g107180	Phototropic-responsive NPH3 family protein (AHRD V3.3 *** A0A2U1N5P4_ARTAN)	
Solyc01g107200	QWRF motif-containing protein 2 (AHRD V3.3 *** A0A2G2Y2D4_CAPAN)	
Solyc01g107240	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein (AHRD V3.3 *-* A0A2U1NNX3_ARTAN)	
Solyc01g107260	myosin-2 heavy chain-like protein (AHRD V3.3 *** AT1G49870.1)	
Solyc01g107270	Phosphoribosylformylglycinamidine synthase (AHRD V3.3 *** A0A2G2Y2D6_CAPAN)	
Solyc01g107430	Zinc finger protein (AHRD V3.3 *** A0A200QZQ7_9MAGN)	
Solyc01g107440	Unknown protein	
Solyc01g107450	hypothetical protein (AHRD V3.3 *-* AT4G34265.6)	
Solyc01g107470	LYR motif-containing protein (AHRD V3.11 *** tr|A0A2G3BVG4|A0A2G3BVG4_CAPCH)	
Solyc01g107520	Basic secretory protease (AHRD V3.3 *** A0A2G2W939_CAPBA)	
Solyc01g107600	protein unc-50 homolog (AHRD V3.3 *** A0A2I4F7Y3_9ROSI)	
Solyc01g107670	Leucine-rich repeat receptor protein kinase (AHRD V3.11 *** tr|A0A2R6Q5Y1|A0A2R6Q5Y1_ACTCH)	
Solyc01g107680	ATP-dependent Clp protease ATP-binding subunit ClpX (AHRD V3.3 *-* A0A2G2V959_CAPBA)	
Solyc01g107690	Unknown protein	
Solyc01g107880	Zinc finger, RING-CH-type, Zinc finger, RING/FYVE/PHD-type (AHRD V3.3 *** A0A2U1NZJ9_ARTAN)	
Solyc01g107940	RING/U-box superfamily protein (AHRD V3.3 *** A0A1P8B1Z6_ARATH)	
Solyc01g108000	Protein kinase domain (AHRD V3.3 *** A0A200QZI9_9MAGN)	
Solyc01g108010	Endonuclease or glycosyl hydrolase (AHRD V3.3 *** A0A2U1M201_ARTAN)	
Solyc01g108020	Thioredoxin M3, chloroplastic (AHRD V3.3 *** A0A1U8E6Y3_CAPAN)	
Solyc01g108110	Glycoprotein 3-alpha-L-fucosyltransferase (AHRD V3.3 *** Q70FI9_ORYSJ)	
Solyc01g108180	Pentatricopeptide repeat (AHRD V3.3 *** A0A200QLP1_9MAGN)	
Solyc01g108210	Cytochrome P450 (AHRD V3.3 *** A0A200QZB6_9MAGN)	
Solyc01g108220	Unknown protein	
Solyc01g108250	DEM2	
Solyc01g108260	EKC/KEOPS complex subunit Tprkb (AHRD V3.3 *** A0A2I4EEJ6_9ROSI)	
Solyc01g108330	transmembrane protein (AHRD V3.3 *-* AT2G26520.1)	
Solyc01g108360	Cupredoxin (AHRD V3.11 *** tr|A0A2U1P8C5|A0A2U1P8C5_ARTAN)	
Solyc01g108390	Trypsin/subtilisin inhibitor (AHRD V3.3 *** A0A2G3AU57_CAPCH)	
Solyc01g108400	CDPK-related protein kinase (AHRD V3.3 *** A0A2G3AU42_CAPCH)	
Solyc01g108410	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A1U8E733_CAPAN)	
Solyc01g108416	GATA transcription factor 26 (AHRD V3.3 *-* A0A2G3DC77_CAPCH)	
Solyc01g108418	CDPK-related kinase 5 (AHRD V3.3 *-* A0A2G3AU25_CAPCH)	
Solyc01g108450	Carboxypeptidase (AHRD V3.3 *** A0A2G2Y3S5_CAPAN)	
Solyc01g108560	Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** A0A2U1KC75_ARTAN)	
Solyc01g108570	Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** A0A2U1KC75_ARTAN)	
Solyc01g108610	Cyclin-dependent kinase inhibitor (AHRD V3.3 *** A0A2G2W9Z0_CAPBA)	
Solyc01g108630	ni.1	
Solyc01g108900	Leucine-rich repeat (AHRD V3.11 *-* tr|A0A200R9L9|A0A200R9L9_9MAGN)	
Solyc01g109050	Glycosyl hydrolase family protein 43 (AHRD V3.3 *** A0A2K3PJW0_TRIPR)	
Solyc01g109060	Pentatricopeptide repeat-containing protein, mitochondrial (AHRD V3.3 *** A0A2G2W9P4_CAPBA)	
Solyc01g109100	TMV resistance protein N (AHRD V3.3 *-* XP_020426626.1)	
Solyc01g109110	Extra-large guanine nucleotide-binding protein 2 (AHRD V3.3 *** A0A1U8DXD5_CAPAN)	
Solyc01g109200	RING/U-box superfamily protein (AHRD V3.3 *-* A0A2U1Q188_ARTAN)	
Solyc01g109250	Mitochondrial fission regulator like (AHRD V3.11 *** tr|A0A2R6RH96|A0A2R6RH96_ACTCH)	
Solyc01g109330	Cytochrome c biogenesis protein CCS1, chloroplastic (AHRD V3.3 *** A0A2G2VTA9_CAPBA)	
Solyc01g109370	Acyltransferase domain-containing protein (AHRD V3.3 *** A0A1Q3CKP3_CEPFO)	
Solyc01g109380	UPF0496 protein (AHRD V3.3 *** A0A2K3LR63_TRIPR)	
Solyc01g109420	Quinone reductase family protein (AHRD V3.3 *** A0A1P8B767_ARATH)	
Solyc01g109550	Transcription termination factor family protein (AHRD V3.3 *** A0A2K3NNA4_TRIPR)	
Solyc01g109570	Glucan endo-1,3-beta-glucosidase (AHRD V3.3 *** J9Z4Z2_ELAGV)	
Solyc01g109610	Erythronate-4-phosphate dehydrogenase family protein (AHRD V3.11 *** tr|Q8VYC6|Q8VYC6_ARATH)	
Solyc01g109640	AP complex subunit sigma (AHRD V3.3 *** A0A2G3BVV9_CAPCH)	
Solyc01g109660	meloidogyne-induced giant cell protein DB275	
Solyc01g109720	Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** Q9ASW5_ARATH)	
Solyc01g109760	Major facilitator superfamily (AHRD V3.3 *-* A0A2U1KPS1_ARTAN)	
Solyc01g109810	tRNA-methyltransferase non-catalytic subunit trm6MTase subunit (AHRD V3.3 *** Q9FJZ5_ARATH)	
Solyc01g109830	Bifunctional dihydrofolate reductase-thymidylate synthase (AHRD V3.3 *** A0A2G3BW20_CAPCH)	
Solyc01g109860	Sec14p-like phosphatidylinositol transfer family protein (AHRD V3.3 *** A0A2U1QM07_ARTAN)	
Solyc01g109870	Sec14p-like phosphatidylinositol transfer family protein (AHRD V3.3 *** A0A2U1MGM1_ARTAN)	
Solyc01g109895	aspartate carbamoyltransferase Chr2:7094882-7095557 FORWARD LENGTH=83 201606 (AHRD V3.11 *** AT2G16385.1)	
Solyc01g109990	RNA-binding protein 28 (AHRD V3.3 *** A0A1J3F968_NOCCA)	
Solyc01g110030	WD40 repeat (AHRD V3.3 *** A0A200QE38_9MAGN)	
Solyc01g110100	RBR-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2XNK4_CAPBA)	
Solyc01g110110	Cysteine protease (AHRD V3.3 *** Q9AUC5_IPOBA)	
Solyc01g110160	hypothetical protein Chr2:9150162-9151752 FORWARD LENGTH=252 201606 (AHRD V3.11 *** AT2G21385.5)	
Solyc01g110280	Protein DETOXIFICATION (AHRD V3.3 *** A0A1J3G5W8_NOCCA)	
Solyc01g110350	hypothetical protein (AHRD V3.3 *** AT4G38980.1)	
Solyc01g110360	Fructose-bisphosphate aldolase (AHRD V3.3 *** Q9SXX5_NICPA)	
Solyc01g110400	30S ribosomal protein S31, mitochondrial (AHRD V3.3 *** A0A1U8E943_CAPAN)	
Solyc01g110460	3-oxo-5-alpha-steroid 4-dehydrogenase family protein (AHRD V3.3 *** A0A2U1L3J9_ARTAN)	
Solyc01g110500	ENTH/VHS-like protein (AHRD V3.3 *** A0A2U1MPP6_ARTAN)	
Solyc01g110550	Ribosome-binding factor A (AHRD V3.3 *** A0A200QQX5_9MAGN)	
Solyc01g110555	Auxin responsive SAUR protein (AHRD V3.3 *** A0A2U1P3N8_ARTAN)	
Solyc01g150172	DNA mismatch repair protein MLH3 (AHRD V3.3 *-* A0A2G2XFY3_CAPBA)	
Solyc01g110660	Auxin-responsive protein SAUR.1	
Solyc01g110680	Small auxin up-regulated RNA12	
Solyc01g150174	DNA mismatch repair protein MLH3 (AHRD V3.3 *-* A0A2G3A9Q9_CAPAN)	
Solyc01g110686	DNA mismatch repair protein MLH3 (AHRD V3.3 *-* A0A2G2XFY3_CAPBA)	
Solyc11g064890	hypoxia-induced protein L31	
Solyc11g064920	Dihydropyrimidinase (AHRD V3.3 *** A0A1U8EK03_CAPAN)	
Solyc11g065000	F-box protein (AHRD V3.3 *** A0A2G2YFL9_CAPAN)	
Solyc11g065040	Protein N-lysine methyltransferase METTL21A (AHRD V3.3 *** A0A2U1MC47_ARTAN)	
Solyc11g065090	magnesium transporter NIPA (DUF803) (AHRD V3.3 *** AT4G13800.8)	
Solyc11g065120	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein (AHRD V3.3 *** F4K149_ARATH)	
Solyc11g150142	reactive oxygen species modulator 1 (AHRD V3.11 *-* tr|A0A2I4FIE9|A0A2I4FIE9_9ROSI)	
Solyc11g065220	Phosphotransferase (AHRD V3.3 *** A0A2G2YFN7_CAPAN)	
Solyc11g065250	Pentatricopeptide repeat (AHRD V3.3 *** A0A200QHA2_9MAGN)	
Solyc11g065730	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.11 *** tr|F4IWB2|F4IWB2_ARATH)	
Solyc11g065760	TK1-like deoxyribonucleoside kinase	
Solyc11g065790	Disease resistance protein I2 (AHRD V3.3 *-* Q9XET3_SOLLC)	
Solyc11g065930	Xanthine dehydrogenase (AHRD V3.11 *** tr|A0A2G2VNZ2|A0A2G2VNZ2_CAPBA)	
Solyc11g065960	U3 small nucleolar ribonucleoprotein IMP4 (AHRD V3.3 *-* A0A1U8ESL4_CAPAN)	
Solyc11g066020	Ankyrin repeat family protein, putative, expressed (AHRD V3.3 *** Q10NB7_ORYSJ)	
Solyc11g066060	70 kDa heat shock protein (AHRD V3.11 *** tr|Q943K7|Q943K7_ORYSJ)	
Solyc11g066090	FYD (AHRD V3.3 *** AT3G12570.4)	
Solyc11g066100	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)	
